name,type,network,original_server,bug_sni,handshake_ms,ws_upgrade_ms,url_test_ms,url_test_status,url_test_success
AKUN-001-RS-1125-VLESS-WS-263MS,vless,ws,216.24.57.1,picassooo.info,263,,655,"SSLError: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFErro",no
AKUN-002-CLOUDFLARE-VLESS-WS-416MS,vless,ws,love.ns.cloudflare.com,pon.antalmani.mm.am,416,,10509,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-003-CLOUDFLARE-VLESS-WS-545MS,vless,ws,empty-water-a05b.gfbghfbfngbdgbghngf.workers.dev,empty-water-a05b.gfbghfbfngbdgbghngf.workers.dev,545,,10686,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-004-CLOUDFLARE-TROJAN-WS-74MS,trojan,ws,www.speedtest.net,027.ELeCTroCelLco-CF-027.wORkERS.dEv,74,,10206,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-005-NET-89-116-46-0-24-TROJAN-WS-347MS,trojan,ws,89.116.46.8,www.calmloud.com,347,,10837,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-006-CLOUDFLARE-TROJAN-WS-358MS,trojan,ws,104.18.12.149,www.ignitelimit.com,358,,10680,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-007-UNKNOWN-TROJAN-WS-352MS,trojan,ws,45.80.111.7,www.calmlunch.com,352,,10590,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-008-CLOUDFLARE-TROJAN-WS-345MS,trojan,ws,104.19.2.175,www.calmloud.com,345,,10598,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-009-PROQUEST-NET-TROJAN-WS-358MS,trojan,ws,165.215.250.14,www.calmlunch.com,358,,10819,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-010-CLOUDFLARE-TROJAN-WS-381MS,trojan,ws,104.20.6.134,www.multiplydose.com,381,,10643,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-011-CLOUDFLARE-TROJAN-WS-419MS,trojan,ws,188.114.96.3,www.creationlong.org,419,,10705,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-012-AMAZON-TROJAN-WS-114MS,trojan,ws,43.218.77.16,store.timimi.dpdns.org,114,,10501,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
AKUN-013-UNKNOWN-VMESS-WS-571MS,vmess,ws,104.18.19.99,vyvzyhgz.com,571,,10866,"ReadTimeout: HTTPSConnectionPool(host='www.tokopedia.com', port=443): Read timed out. (read timeout=10.0)",no
