name,type,network,original_server,bug_sni,mihomo_status,url_test_ms,nekobox_test_ms,nekobox_status,nekobox_ready
AKUN-010-CLOUDFLARE-VLESS-WS-110MS,vless,ws,o.server2peekconfig.workers.dev,O.sErvER2pEekCOnfIg.wORKeRs.dEV,pass 4/4 required 2; www.netflix.com:HTTP 200/645ms; www.disneyplus.com:HTTP 200/103ms; www.primevideo.com:HTTP 302/130ms; www.gstatic.com:HTTP 204/146ms,1148,195,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-018-DEV-VLESS-WS-138MS,vless,ws,server1.peekconfiggg.workers.dev,SeRVER1.pEekconfIGGG.wORkERS.dEv,pass 4/4 required 2; www.netflix.com:HTTP 200/641ms; www.disneyplus.com:HTTP 200/138ms; www.primevideo.com:HTTP 302/143ms; www.gstatic.com:HTTP 204/129ms,1176,213,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-002-UNKNOWN-VLESS-WS-92MS,vless,ws,104.27.14.95,DaYiJoon.mbs-SAteHi.WorkeRs.DeV,pass 4/4 required 2; www.netflix.com:HTTP 200/705ms; www.disneyplus.com:HTTP 200/136ms; www.primevideo.com:HTTP 302/143ms; www.gstatic.com:HTTP 204/160ms,1268,187,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-019-DEV-VLESS-WS-83MS,vless,ws,bpb-panel-4e2c.sakwra939.workers.dev,bpb-PanEl-4e2C.SAkWra939.wORKErS.DEV,pass 4/4 required 2; www.netflix.com:HTTP 200/810ms; www.disneyplus.com:HTTP 200/107ms; www.primevideo.com:HTTP 302/190ms; www.gstatic.com:HTTP 204/137ms,1368,202,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-021-UNKNOWN-VLESS-WS-139MS,vless,ws,172.64.34.205,BItter-CreDIT-61b8.b76EbA0aBb.wORkerS.dEv,pass 4/4 required 2; www.netflix.com:HTTP 200/748ms; www.disneyplus.com:HTTP 200/264ms; www.primevideo.com:HTTP 302/124ms; www.gstatic.com:HTTP 204/127ms,1387,180,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-012-DEV-VLESS-WS-79MS,vless,ws,free.server11peekconfig.workers.dev,FRee.SeRver11pEEkcONFIg.WorkeRS.DEv,pass 4/4 required 2; www.netflix.com:HTTP 200/917ms; www.disneyplus.com:HTTP 200/154ms; www.primevideo.com:HTTP 302/142ms; www.gstatic.com:HTTP 204/116ms,1453,205,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-007-DEV-VLESS-WS-77MS,vless,ws,o.server3peekconfig.workers.dev,o.SERVeR3PeEkConFIG.WOrKerS.dEv,pass 4/4 required 2; www.netflix.com:HTTP 200/777ms; www.disneyplus.com:HTTP 200/175ms; www.primevideo.com:HTTP 302/209ms; www.gstatic.com:HTTP 204/178ms,1463,183,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-014-CLOUDFLARE-VLESS-WS-114MS,vless,ws,www.speedtest.net,T4D0931V17-CDz0X69201OPc0WLAkR8z.paGes.dEv,pass 4/4 required 2; www.netflix.com:HTTP 200/859ms; www.disneyplus.com:HTTP 200/169ms; www.primevideo.com:HTTP 302/210ms; www.gstatic.com:HTTP 204/142ms,1504,185,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-028-CLOUDFLARE-VLESS-WS-90MS,vless,ws,188.114.97.6,SILENt-kiNG-5030.AipRoINteR.WorkErS.DEv,pass 4/4 required 2; www.netflix.com:HTTP 200/930ms; www.disneyplus.com:HTTP 200/185ms; www.primevideo.com:HTTP 302/175ms; www.gstatic.com:HTTP 204/134ms,1548,183,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
AKUN-017-CLOUDFLARE-VLESS-WS-138MS,vless,ws,188.114.96.1,24VvD-4imRvfaQv7hQxYbU9WzJv378Qi.v2Raygulf.WorkeRS.DeV,pass 4/4 required 2; www.netflix.com:HTTP 200/1091ms; www.disneyplus.com:HTTP 200/237ms; www.primevideo.com:HTTP 302/150ms; www.gstatic.com:HTTP 204/126ms,1728,190,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",no
