name,type,network,original_server,bug_sni,handshake_ms,ws_upgrade_ms,url_test_ms,url_test_status,url_test_success
AKUN-001-CLOUDFLARE-VLESS-WS-88MS,vless,ws,172.64.145.202,t1s1.rittbo.kdns.fr,88,,260,HTTP 204,yes
AKUN-002-CLOUDFLARE-VLESS-WS-88MS,vless,ws,104.21.75.46,bold-term-2b48.stary3989.workers.dev,88,,224,HTTP 204,yes
AKUN-003-CLOUDFLARE-VLESS-WS-87MS,vless,ws,173.245.59.35,ld.235231.xyz,87,,233,HTTP 204,yes
AKUN-004-CLOUDFLARE-VLESS-WS-92MS,vless,ws,104.16.72.70,nbhhh.mrcool.kdns.fr,92,,220,HTTP 204,yes
AKUN-005-CLOUDWEBMANAGE-EU-FR-VLESS-WS-95MS,vless,ws,45.147.248.115,coNFIghayE.moKhaBeraTebInZON.workErS.deV,95,,229,HTTP 204,yes
AKUN-006-CLOUDFLARE-VLESS-WS-95MS,vless,ws,162.159.13.71,nbhhh.mrcool.kdns.fr,95,,201,HTTP 204,yes
AKUN-007-DE-XTOM-20210903-VLESS-WS-77MS,vless,ws,178.22.26.54,nbhhh.mrcool.kdns.fr,77,,200,HTTP 204,yes
AKUN-008-VULTR-VLESS-WS-105MS,vless,ws,108.160.132.178,t1s1.rittbo.kdns.fr,105,,224,HTTP 204,yes
AKUN-009-RS-RAPIDSEEDBOX-20190717-VLESS-WS-81MS,vless,ws,45.130.125.158,t1s1.rittbo.kdns.fr,81,,219,HTTP 204,yes
AKUN-010-CLOUDFLARE-VLESS-WS-112MS,vless,ws,108.162.194.135,nbhhh.mrcool.kdns.fr,112,,200,HTTP 204,yes
AKUN-011-466688-VLESS-WS-100MS,vless,ws,cf9.466688.xyz,cfoo-146.pages.dev,100,,228,HTTP 204,yes
AKUN-012-RS-RAPIDSEEDBOX-20190717-VLESS-WS-97MS,vless,ws,45.130.125.158,t1s1.rittbo.kdns.fr,97,,223,HTTP 204,yes
AKUN-013-UNKNOWN-VLESS-WS-92MS,vless,ws,104.17.121.98,unnes.ac.id.yxls.eu.cc,92,,229,HTTP 204,yes
AKUN-014-UNKNOWN-VLESS-WS-92MS,vless,ws,172.67.195.229,rapid-hat-441d.platovpn.workers.dev,92,,208,HTTP 204,yes
AKUN-015-UNKNOWN-VLESS-WS-130MS,vless,ws,192.71.82.2,kingcloud.biack.ir,130,,199,HTTP 204,yes
AKUN-016-UNKNOWN-VLESS-WS-120MS,vless,ws,43.163.77.140,c.eoa.ccwu.cc,120,,239,HTTP 204,yes
AKUN-017-US-VLESS-WS-102MS,vless,ws,nuclear.us.kg,nuclear.us.kg,102,,206,HTTP 204,yes
AKUN-018-MEDIUM-VLESS-WS-86MS,vless,ws,medium.com,rAyAn-007.mAxImA.DpDnS.OrG,86,,202,HTTP 204,yes
AKUN-019-1PASSWORD-VLESS-WS-84MS,vless,ws,1password.com,rAyAn-007.fOtOn.dPdNs.oRg,84,,226,HTTP 204,yes
AKUN-020-MYBB-VLESS-WS-100MS,vless,ws,mybb.com,rAyAn-007.nAsTaRaN.DpDnS.OrG,100,,210,HTTP 204,yes
AKUN-021-UNKNOWN-VLESS-WS-240MS,vless,ws,159.112.235.52,octopusss.net,240,,495,HTTP 204,yes
AKUN-022-UNKNOWN-VLESS-WS-266MS,vless,ws,148.253.210.248,octopusss5.info,266,,603,HTTP 204,yes
AKUN-023-MICROSOFT-VLESS-WS-275MS,vless,ws,news.microsoft.com,amoosamiii.net,275,,578,HTTP 204,yes
AKUN-024-CLOUDFLARE-VLESS-WS-243MS,vless,ws,betty.ns.cloudflare.com,amooaliii.net,243,,504,HTTP 204,yes
AKUN-025-UNKNOWN-VLESS-WS-245MS,vless,ws,173.245.58.75,terazhediii.info,245,,498,HTTP 204,yes
